AIMARA,ESPAÑOL,INGLES
Jupasti?,¿Y él?,And the?
Jupax awichajawa,Ella es mi abuela,She is my grandmother
Jikisiñkama kullaka,Hasta luego hermana,see you later sister
Jikisiñkamay kullaka,Hasta luego hermana,see you later sister
Aski urukïpan kullaka,Buen día hermana,good morning sister
Aski urukïpanay kullaka,Buen día hermana,good morning sister
Kamisaki kullakita,¿Cómo estás hermanita?,How are you little sister?
Waliki kullaka,Bien hermanita,ok little sister
Jichhurux kuna urusa?,¿Qué día es hoy?,What day is today?
Jichhurux pacha uruwa,Hoy es miércoles,Today is Wednesday
Kuna Pachasa?,¿Qué hora es?,What time is it?
Llatünka allwa pachawa,Son las 9:00 de la mañana,It's 9:00 in the morning
Juman Sutimax Kunasa?,¿Cuál es tu nombre?,What is your name?
Nayax Sutijax Carolawa,Mi nombre es Carol,My name is Carol
Jumansti?,¿Y de ti?,And about you?
Nayax Sutijax Mariwa,Yo me llamo Maria,My name is Maria
Jumax qawqha maranitasa kullaka Carola?,¿Cuántos años tienes hermana Carol?,How old are you sister Carol?
Nayax Pusi tunka maranitwa,Yo tengo 40 años,I am 40 years old
Jumasti?,¿Y tú?,And you?
Nayax Pätunka suxtani maranitwa,Yo tengo 26 años,I have 26 years
Kawkitatasa kullakita?,¿De dónde eres hermana?,Where are you from sister?
Nayax Altu Patatatwa,Yo soy de El Alto,I am from El Alto
Jumax kuna luriritasa?,¿Tú a qué te dedicas?,What do you do?
Nayax yatiqiritwa,Yo soy estudiante,I am a student
Jumasti kullakita?,¿Y tú hermanita?,And your little sister?
Nayax yatichiritwa,Yo soy profesora,I'm a teacher
Kuna phaxsinsa yuritäta?,¿En qué mes habías nacido?,In what month were you born?
Achuqa phaxsina,En el mes de marzo,In March
Qawqha jilanitasa kullaka?,¿Cuántos hermanos tienes hermana?,How many brothers do you have sister?
Nayax phisqa jilanitwa,Yo tengo 5 hermanos,I have 5 brothers
Jumasti?,¿Y tú?,And you?
Janiw utjkituti,No tengo,Do not have
Khitis tatamaxa?,¿Quién es tu papá?,Who is your dad?
Tatajax Francisco Figuerowawa,Mi papá es Francisco Figueroa,My dad is Francisco Figueroa
Tatamax qawqha maranisa?,¿Tu papá cuántos años tiene?,How old is your dad?
Tatajax Paqallq tunka maraniwa,Mi papá tiene 70 años,My dad is 70 years old
Qawqha anunitasa?,¿Cuántos perros tienes?,How many dogs do you have?
Mä anunitwa,Tengo un perro,I have a dog
Anumax kuna saminisa?,¿De qué color es tu perro?,What color is your dog?
Anujax Janq’u saminiwa,Mi perro es de color blanco,my dog ​​is white
Kuna manq’s phayäta?,¿Qué comida cocinarás?,What food will you cook?
Nayax saxta phayä,Yo cocinaré sajta,I will cook sajta
P’iqiw usutu,Me duele la cabeza,I have a headache
Kunarsats ustam?,¿Desde cuándo te duele?,Since when does it hurt?
Chharmanthita,Desde esta mañana,since this morning
Jurpürkam kullakita,Hasta pasado mañana hermanita,Until the day after tomorrow little sister
Jurpürkamay kullakita,Hasta pasado mañana hermanita,Until the day after tomorrow little sister
Aski arumakïpan Kullaka,Buenas noches hermana,Good night sister
Aski arumakïpanay Kullaka,Buenas noches hermana,Good night sister
Kunas juman phuqhat sutimax Kullaka?,¿Cuál es tu nombre completo hermana?,What is your full name sister?
Nayan phuqha sutijax María Luisa Illanes Quispe. Jumansti kullaka?,"Mi nombre completo es Maria Luisa Illanes Quispe, ¿y el tuyo hermana?","My full name is Maria Luisa Illanes Quispe, and yours, sister?"
Nayan phuqhat sutijax Doris Herminia Mollo Calle,Mi nombre completo es Doris Herminia Mollo Calle,My full name is Doris Herminia Mollo Calle
Qhawqha kullakanitasa kullaka María?,¿Cuántas hermanas tienes hermana Maria?,How many sisters do you have sister Maria?
"Nayax suxta kullakanitwa, Jumasti qhawqha jilanitasa Kullaka Doris","Yo tengo 6 hermanas, ¿y tú cuántos hermanos tienes hermana Doris?","I have 6 sisters, and how many brothers do you have, sister Doris?"
Nayax kimsa jilanitwa,Yo tengo 3 hermanos,I have 3 brothers
Kullaka Doris kunas ustam,¿Hermana Doris qué te duele?,"Sister Doris, what hurts you?"
Nayarux p’iqiw usutu,A mí me duele mi cabeza,my head hurts
Kunjamas ustum,¿Cómo te duele?,How does it hurt?
Sintiw usutu kullaka María,Me duele mucha hermana Maria,It hurts a lot sister Maria
Qullasintaw kullaka Doris,Te vas a curar hermana Doris,You are going to be cured sister Doris
Kullaka María jach’a ch’uqinaka apaniraqitata,Hermana Maria grandes papas me lo vas a traer,"Sister Maria, big potatoes, are you going to bring it to me?"
Jisa jach’a yari ch’uqinaka apanirapimawa,"Sí, grandes papas te lo voy a traer","Yes, big potatoes I'll bring it to you"
Ukax kuna juyrasa kullaka María?,¿Eso qué alimento es hermana Maria?,That what food is sister Maria?
Akax tunqu juyrawa kullaka Doris,Esto es maíz hermana Doris,This is corn sister Doris
Qhawqha uywanitasa kullaka María,¿Cuántos animales tienes hermana Maria?,How many animals do you have sister Maria?
"Nayax tunka ch’iyara anunitwa Kullaka Doris, Jumasti? kuna uywanitasa","Yo tengo 10 perros negros hermana Doris, ¿y tú cuántos animales tienes?","I have 10 black dogs sister Doris, and how many animals do you have?"
Nayax tunka pusini qawranitwa,Yo tengo 14 llamas,I have 14 flames
Kunapachasa jikisiñani Kullaka Doris,¿Cuándo nos vamos a encontrar hermana Doris?,When are we going to meet Sister Doris?
Jurpuruw jikisiñani kullaka María,Pasado mañana nos encontraremos hermana Maria,The day after tomorrow we will meet sister Maria
Kuna phaxsinsa ch’uqinaka satañani kullaka Doris,En que mes vamos a sembrar papa hermana Doris,"In what month are we going to plant potatoes, Sister Doris?"
Sata phaxsina satañani kullaka María,En el mes de septiembre vamos a sembrar hermana Maria,In the month of September we are going to sow sister Maria
Kuna urus jikisiñani kullaka Doris,Que día nos vamos a encontrar hermana Doris,What day are we going to meet sister Doris
Illapa urun jikisiñani kullaka María,El día jueves nos encontraremos hermana Maria,On Thursday we will meet sister Maria
Kuna pachasa jikisiñani kullaka Doris,¿A qué hora nos encontraremos hermana Doris?,What time will we meet Sister Doris?
Päqallqu alwa pachaw jikisiñani kullaka Maria,A las 07:00 de la mañana nos encontraremos hermana Maria,At 07:00 in the morning we will meet sister Maria
Jikisiñkam kullaka Doris,Hasta luego hermana Doris,See you later sister Doris
Jikisiñkamay kullaka María,Hasta luego hermana Maria,See you later sister Maria
Aski Urukïpan kullaka,Buen día hermana,good morning sister
Aski urukïpanay kullaka,Buen día hermana,good morning sister
Kamisaki,¿Cómo estás?,How are you?
"Waliki, jumasti?",Bien ¿y tú?,"Well, and you?"
"Walikiraki, juman sutimax kunasa?","Bien también, ¿Cuál es tu nombre?","Alright too, what's your name?"
"Nayan sutijax Andreawa, sutimasti?",Mi nombre es Andrea ¿Y tu nombre?,My name is Andrea. And your name?
Nayan sutijax Ruth,Mi nombre es Ruth,My name is Ruth
Qawqha maranitasa?,¿Cuántos años tienes?,How old are you?
"Nayax kimsa tunka paqallquni maranitwa, jumasti?","Tengo 37 años, ¿y tú?","I am 37 years old, and you?"
Nayax pä tunka pusini maranitwa,Yo tengo 24 años,I'm 24 years old
Qawqha jilanitasa?,¿Cuántos hermanos tienes?,How many brothers you have?
"Janiw utjkituti, jumasti?","No tengo, ¿Y tú?",I do not have and you?
Nayax phisqa jilatanitwa,Yo tengo 5 hermanos,I have 5 brothers
Jumax kawkitasa?,¿Tú de dónde eres?,Where are you from?
"Nayax Alto patatwa, Jumax kawki markatatasa?","Soy de El Alto, ¿Tú de dónde eres?","I'm from El Alto, where are you from?"
"La Pazan markatatwa, jumax kuna luriritasa?","De La Paz, ¿tú a que te dedicas?","From La Paz, what do you do?"
"Nayax qulliritwa, jumasti?",Yo soy médico ¿Y tú?,"I am a doctor, and you?"
Nayax pastelerawa,Yo soy pastelera,I am a pastry chef
Qawqha uywanitasa?,¿Cuántos animales tienes?,How many animals do you have?
Pusi uywanitwa,Tengo 4 animales,I have 4 animals
Kuna uywanitasa?,¿Qué animales tienes?,What animals do you have?
"Pä anunumpi, pä phisimpi, jumax uywanitati?","Dos perros y dos gatos, ¿Y tú tienes animales?","Two dogs and two cats, and you have animals?"
"Nayax janiw uywanikti, Anumax kuna saminisa?","No tengo animales, ¿De qué color es tu perro?","I don't have animals, what color is your dog?"
"Ch’iyarawa, Utamax kuna saminisa?","Es negro, ¿De qué color es tu casa?","It's black, what color is your house?"
"Utajax uqi samiwa, kuna manq’s munta?","Mi casa es de color plomo, ¿qué comida quieres?","My house is lead color, what food do you want?"
"Nayax saxta muntha, jumasti?","Quiero sajta, ¿Y tú?","I want sajta, and you?"
Nayax arusampi aychampi muntha,Yo quiero arroz con carne,I want rice with meat
Kunas ustam?,¿Qué te duele?,What hurts you?
Purakaw usuta,Mi estómago me duele,My stomach hurts
Sintit ustam?,¿Te duele mucho?,Does it hurt a lot?
"Janiwa, juk’akiw usutu","No, me duele un poco nomás","No, it just hurts a little"
Wasurux kuna urunsa?,¿Ayer que día era?,What day was it yesterday?
"Wasurux saxra urunwa, qharurux kuna urunisa?","Ayer era martes, ¿mañana que día va ser?","Yesterday was Tuesday, what day will it be tomorrow?"
"Qharurux illap uruniwa, kuna phaxsinktansa?","Mañana es jueves, ¿en qué mes estamos?","Tomorrow is Thursday, what month are we in?"
"Taypisata phaxsinktanwa, kuna marasa?","Estamos en octubre, ¿qué año es?","We are in October, what year is it?"
Pä waranka pä tunka mayani marawa,Es el año 2021,It's the year 2021
Kuna pachasa?,¿Qué hora es?,What time is it?
Suxta alwat pusi tunka mayani k’atanakaw saraqxi,Son las 06:41 de la mañana,It's 06:41 in the morning
Jurpurkam kullaka Andrea,Hasta pasado mañana hermana Andrea,Until the day after tomorrow sister Andrea
Jurpurkamay Kullaka Ruth,Hasta pasado mañana hermana Ruth,See you the day after tomorrow sister Ruth
Aski alwakïpan kullaka,Buenos días hermana,Good morning sister
Aski alwakïpanay kullaka,Buenos días hermana,Good morning sister
Kamisaki?,¿Cómo estás?,How are you?
Walikisktwa,Estoy bien,I'm good
Juman sutimax kunasa?,¿Cuál es tú nombre?,What's your name?
"Nayan sutijax Amalia, jumansti?","Mi nombre es Amalia, ¿y de tí?","My name is Amalia, what about you?"
Nayax sutijax Helen,Mi nombre es Helen,my name is Helen
Jumax kawkitatasa?,¿Tú de dónde eres?,Where are you from?
"Nayax Orurotatwa, jumasti?","Yo soy de Oruro, ¿y tú?","I'm from Oruro, and you?"
Cochabambatatwa,Soy de Cochabamba,I'm from Cochabamba
Tatamax kawkitasa?,¿Tu papá de dónde es?,Where is your dad from?
Tatajax Sucre markatawa,Mi papá es de Sucre,My dad is from Sucre
Tatamax kuna luririsa?,¿Tu papá a que se dedica?,What does your dad do?
Jupax ch’ukuriwa,Él es costurero,he is a seamstress
Mamamasti,¿Y tu mamá?,And your mom?
Mamajax utankiriwa,Mi mamá es ama de casa,My mom is a housewife
Jumax qawqha jilanitasa?,¿Cuántos hermanos tienes?,How many brothers you have?
Nayax mä jilanitwa,Yo tengo un hermano,I have a brother
Jupan sutipax kunasa?,¿Él cómo se llama?,What is his name?
Jilajan sutipax Ramirowa,Mi hermano se llama Ramiro,My brother's name is Ramiro
Jilamax qawqha maranisa?,¿Tu hermano cuántos años tiene?,How old is your brother?
Pä tunka maraniwa,Tiene 20 años,He is 20 years old
"Nayax pä jilanitwa, jilïr jilajan sutipax Eusebio, sullka jilajan sutipax Mateo","Yo tengo 2 hermanos, el mayor de llama Eusebio y el menor se llama Mateo","I have 2 brothers, the older one is called Eusebio and the younger one is called Mateo."
Ukax kunasa?,¿Eso qué es?,What is that?
Ukax q’ipijawa,Eso es mi bulto,that's my lump
Jupax khitisa?,¿Quién es él?,Who is he?
Jupax yuqajawa,Él es mi hijo,He is my son
Akax utamati?,¿Esta es tu casa?,This is your house?
"Janiwa, janiw utajakiti","No, no es mi casa","No, it's not my house"
Khayaw utajaxa,Aquella es mi casa,that is my house
"Ahhhh, uka ch’uqix jumankiti?","Ahhhh, ¿esa papa es tuya?","Ahhhh, is that potato yours?"
Jisa nayankiwa,"Sí, es mío",Yes it is mine
Kunampis utjtam?,¿Qué más tienes?,What else do you have?
"Arusampi, apichumpi, apillampiw utjitu","Tengo arroz, camote y oca","I have rice, sweet potato and goose"
Ch’uqin chanipasti?,¿Y el precio de la papa?,And the price of potatoes?
Kimsa tunka waranqawa,Es 30 unidades monetarias,It is 30 monetary units
Mä arroba ch’uq’i aljita,Véndeme una arroba de papa,Sell ​​me an arroba of potato
Yaw churamay,Ya te venderé,I'll sell you
Uka anux khitinkisa?,¿Ese perro de quién es?,Whose dog is that?
Uka anux nayankiwa,Ese perro es mío,That dog is mine
Jumax uywanitati?,¿Tú tienes animales?,You have animals?
"Jisa, uywanitwa","Sí, tengo animales",yes i have animals
Kuna uywanitasa?,¿Qué animal tienes?,What animal you have?
Nayax mä iwijanitwa,Yo tengo una oveja,I have a sheep
Iwijajax Dory satawa,Mi oveja se llama Dory,My sheep is called Dory
Iwijamax kuna saminisa?,¿Tu oveja de qué color es?,What color is your sheep?
Iwijajax ch’umphiwa,Mi oveja es de color café,My sheep is brown
Kullaka kuna phaxsinsa wawamax yurini?,¿Hermana en qué mes va a nacer tu bebé?,Sister in what month will your baby be born?
Taypi sata phaxsina,En el mes de octubre,in the month of october
Kullaka jichhurux kuna urusa?,¿Hermana que día es hoy?,"Sister, what day is it today?"
Jichhurux ñanqha uruwa,Hoy es viernes,Today is Friday
Kuna pachasa?,¿Qué hora es?,What time is it?
Tunka mayani alwa pachawa,Son las 11 de la mañana,It is 11 am
"Waliki kullaka, qharürkama","Bien hermana, hasta mañana","Well sister, see you tomorrow"
Qharürkamay kullaka,Hasta mañana hermana,see you tomorrow sister
Aski alwakïpan Jilata José,Buenos días hermano José,good morning brother Jose
Aski alwakïpanay Kullaka Elva,Buenos días hermana Elva,Good morning sister Elva
Kunjamastasa?,¿Cómo estás?,How are you?
"Waliki, jumasti?","Bien, ¿y tú?","Well, and you?"
Walikiraki,Bien también,Well also
Kuns luraskta kullaka?,¿Qué estás haciendo hermana?,What are you doing sister?
Nayax walja t'ant'a lurasktha,Yo estoy haciendo muchos panes,I am making many loaves
Kawki?,¿Donde?,Where?
"Jurnujana, jumax janit t'ant'a lurkata?","En mi horno, ¿tú no vas a hacer pan?","In my oven, aren't you going to make bread?"
"Janiwa, nayax janiw lurakati","No, yo no voy a hacer","No, I'm not going to do"
Kunata?,¿Por qué?,Why?
"Nayax jayrachitwa, inas jayp'uru lurchï","Yo soy flojo, talvez en la tarde haga","I'm lazy, maybe in the afternoon I'll do"
Jayp'urux chhijchhintjamakiniwa,En la tarde parece que va a granizar,In the afternoon it looks like it's going to hail
"Kunjama? Ay no... Pampan janiw sarnaqañakiti, q'ixu q'ixu puriri",¿Cómo? Ay no... No hay que caminar en la pampa sabe,"How? Oh no... You don't have to walk in the pampas, you know"
Kejo purija,caer relámpagos,lightning is falling
"Jisa, Jilata","Sí, hermano",Yes brother
Kawkir t'ant'anaks lurta?,¿Qué panes estás haciendo?,What breads are you making?
"Nayax t'ant'a wawanakampi, tunqu t'ant'ampi, musq’a t'ant'ampi lurtha","Yo estoy haciendo t’ant’a wawa, pan de maiz y pan dulce","I am making t'ant'a wawa, corn bread and sweet bread"
Kunjamas t'ant'a wawamaxa?,¿Cómo es tu t’ant’a wawa?,How is your t'ant'a wawa?
"T'ant'a wawajax istuku ajanuniwa, jach'awa, wawajamawa","Mí t’ant’a wawa tiene cara de estuco, es grande, es como mi bebé","Mí t'ant'a wawa has a stucco face, he's big, he's like my baby"
Jiwakiwa,Que bonito,How nice
"Jisa, ah... Ancha irnaqatax amparajaw usutu","Sí, ah... mi mano me duele por tanto trabajar","Yes, ah... my hand hurts from working so much"
Khitinakampisktasa?,¿Con quiénes estás?,Who are you with?
Nayakitwa,Yo no más estoy,I am no more
"Ay kullakita, anchhitaw yanapanpir jutama. ¿Qawqha t'ant's lurasta?","Ay hermanita, ahorita vengo a ayudarte. ¿Cuánto pan estás haciendo?","Oh little sister, right now I come to help you. How much bread are you making?"
"Nayax mä arroba jak’uta luratha, qawqha t'ant'a mistchini?","Yo estoy haciendo de una arroba, ¿cuánto pan saldrá?","I am making an arroba, how much bread will come out?"
Nayax sarxarusktwa yanapiri,Ya vengo a ayudarte,I'm here to help you
Yuspajara Jilata,Gracias hermano,Thanks brother
Aski urukïpan kullaka,Buen día hermana,good morning sister
Aski urukïpanay jilata,Buen día hermano,Good day brother
Kamisaki?,¿Cómo estás?,How are you?
Waliki,Bien,Well
Jumasti?,¿Y tú?,And you?
Walikisktwa,Estoy bien,I'm good
Juman sutimax kunasa?,¿Cuál es tú nombre?,What's your name?
Nayan sutijax Antoniawa,Mi nombre es Antonia,My name is Antonia
Jumax qawqha maranitasa?,¿Tú cuántos años tienes?,How old are you?
Nayax pusi tunka maranitwa,Yo tengo 40 años,I am 40 years old
Jumax kawkitatasa?,¿Tú de dónde eres?,Where are you from?
Nayax Santa Cruzatatwa,Yo soy de Santa Cruz,I am from Santa Cruz
Jumax kuna luriritasa?,¿Tú a qué te dedicas?,What do you do?
Nayax jakhuritwa,Yo soy contadora,I am an accountant
Jumax kuna luriritasa jilata?,Tu a qué te dedicas hermano?,What do you do brother?
Nayax yatichiritwa,Yo soy profesor,I am a teacher
Waliki! kawkins irnaqta?,¡Qué bien! ¿Dónde trabajas?,How good! Where do you work?
Mä Institutuna,En un instituto,in an institute
Jumax qawqha kullakanitasa?,¿Tú cuántas hermanas tienes?,How many sisters do you have?
"Nayax kimsa kullakanitwa, jilir kullakax Ana satawa, taypiristi Maritza satawa, sullkiri kullakitajasti María René satawa","Yo tengo 3 hermanas, mi hermana mayor se llama Ana, la del medio es Maritza y mi hermanita menor es María Rene","I have 3 sisters, my older sister is called Ana, the middle one is Maritza and my little sister is María Rene."
Jumar kunas ustam? Wali qaritjamakiw jutasktaxay,¿A ti qué te duele? Te veo venir bien cansada,What hurts you? I see you coming very tired
Nayar janiw kunas uskituti,A mí no me duele nada,nothing hurts me
Jumax uywanitati?,¿Tú tienes animales?,You have animals?
"Jisa, nayax mä anunitwa","Sí, yo tengo un perro",Yes I have a dog
Anumax kuna saminisa?,¿Tu perro de qué color es?,What color is your dog?
Ch’umphimpi janq'umpi saminiwa,Es de color café con blanco,It is brown with white
Kuna maranktansa?,¿En qué año estamos?,What year are we in?
Pä waranka pätunka mayani,2021,2021
Kuna phaxisinktansa?,¿En qué mes estamos?,What month are we in?
Taypi sata phaxsinktanwa,Estamos en el mes de octubre,We are in the month of October
Jichhurux kuna urusa?,¿Hoy qué día es?,What day is it today?
Jichhurux samaña uruwa,Hoy es sábado,Today is Saturday
Kuna pachasa?,¿Qué hora es?,What time is it?
Suxta alwat pä tunka k'atanakaw saraqxi,Son las 06:20 de la mañana,It's 06:20 in the morning
Kuna manq's munta?,¿Qué comida quieres?,What food do you want?
"Nayax chhuxllumpi, aychampi, kisumpi muntha",Yo quiero choclo con carne y queso,I want corn with meat and cheese
Jumasti kuns munta?,¿Y tú qué quieres?,And what do you want?
Nayax Pique Macho muntha,Yo quiero Pique Macho,I want Pique Macho
"Jichhasti, jumax kuns luraskta?","Ahora, ¿tú qué estás haciendo?",Now what are you doing?
Akan nayax kullakitajaruw suyasktha,Aquí yo estoy esperando a mi hermanita,Here I am waiting for my little sister
K’aristawa,Estás mintiendo,You're lying
"Janiwa, kamisarakisti, chiqapuniwa","No, como pues, es de verdad","No, like, it's true"
"Jan samti kullaka, khä tatax khitisa?","No digas hermana, ¿ese hombre quién es?","Don't say sister, who is that man?"
Khä tatax ichutatajawa,Ese hombre es mi padrino de bautizo,That man is my godfather of baptism
Kawkirurak sarasktasti?,¿A dónde estás yendo?,Where are you going?
Qhaturuw sarasktha,Al mercado estoy yendo,I'm going to the market
Qhaturu nayampi sarañ muntati?,¿Quieres ir al mercado conmigo?,Do you want to go to the market with me?
Kunarsa?,¿Cuándo?,When?
Anchhita,Ahora,Now
"Janiwa, willküruw sarañäni, wilküruw irpitäta","No, el domingo iremos, el domingo me llevas","No, on Sunday we will go, on Sunday you take me"
Walikiskiwa,Está bien,It's fine
"Ukhamax Willküruw wali alwat jikisiñäni, sart’awayä","Entonces el día domingo muy tempranos nos encontraremos, iré","Then on Sunday very early we will meet, I will go"
"Quq apanïtawa, willkürkama. Uka ch’iyar anuraki!","Vas a traer fiambre, hasta el domingo. ¡Cuidado con ese perro negro!","You're going to bring stiff, until Sunday. Watch out for that black dog!"
Aski urukïpan kullaka,Buenos días hermana,Good morning sister
Aski urukïpanay kullaka,Buenos días hermana,Good morning sister
Kamisaki kullaka?,¿Cómo estás hermana?,How are you sister?
"Walikisktwa, jumax kunjamasktasa?","Estoy bien, ¿y tú cómo estás?",I'm fine and you how are you?
Waliki kullaka. ¿Kunas sutimaxa?,Bien hermana. ¿Cuál es tu nombre?,Good sister. What is your name?
"Nayax Lizeth satätwa, jumasti kun satatäsa?","Mi nombre es Lizeth, ¿y tú cómo te llamas?","My name is Lizeth, and what is your name?"
Nayan sutijax Maribelawa. Qawqha maranitasa?,Mi nombre es Maribel. ¿Cuántos años tienes?,My name is Maribel. How old are you?
Nayax kimsa tunka mayani maranitwa. Jumasti?,Yo tengo 31 años. ¿Y tú?,I'm 31 years old. And you?
Nayax pusi tunka pusini maranitwa,Yo tengo 44 años,I'm 44 years old
Kuna phaxsin yuritätasa?,¿En qué mes naciste?,In what month were you born?
Chinuqa phaxina. Jumansti?,En el mes de enero. ¿Y de ti?,In January. And about you?
Jallu qallta phaxsina. Jumax kuna luriritasa?,En el mes de diciembre. ¿Tú a qué te dedicas?,In the month of December. What do you do?
Nayax utankiritwa. Jumasti?,Yo soy ama de casa. ¿Y tú?,I am a housewife. And you?
Nayax ingenieratwa. Jumax kawkitatasa?,Yo soy ingeniera. ¿Tú de dónde eres?,I am engineer. Where are you from?
Nayax La Pazatatwa. Jumasti?,Yo soy de La Paz. ¿Y tú?,I am from La Paz. And you?
Nayax La Pazankirirakitwa,Yo también soy de La Paz,I am also from La Paz
Chachanitati?,¿Tienes esposo?,You have a husband?
Janiw chachanikti. Jumasti?,No tengo esposo. ¿Y tú?,I have no husband. And you?
"Jisa, nayax chachanitwa","Sí, yo tengo esposo","Yes, I have a husband"
"Ukhamax, wawanitati?",Entonces ¿tienes hijos?,So do you have children?
"Jisa, wawanitwa","Sí, tengo hijos",Yes I have kids
Qawqha wawanitasa?,¿Cuántos hijos tienes?,How many children do you have?
"Nayax pä wawanitwa, imillpurawa","Yo tengo dos hijas, son mujercitas","I have two daughters, they are little women"
Jilir phuchamax qawqha maranisa?,¿Tu hija mayor cuántos años tiene?,How old is your oldest daughter?
Jilir wawajax pä tunka payani maraniwa,Mi hija mayor tiene 22 años,My eldest daughter is 22 years old.
Sullkir wawamax qawqha maranisa?,¿Tu hija menor cuántos años tiene?,How old is your youngest daughter?
Jupax tunka payani maraniwa. Jumax ipanitati?,Mi hija mayor tiene 12 años. ¿Tú tienes tías?,My oldest daughter is 12 years old. Do you have aunts?
"Jisa, ipanitwa","Sí, tengo tías",yes i have aunts
