Kamisaki,¿Cómo estás?,
"Waliki, jumasti?",Bien ¿y tú?,
"Walikiraki, juman sutimax kunasa?","Bien también, ¿Cuál es tu nombre?",
"Nayan sutijax Andreawa, sutimasti?",Mi nombre es Andrea ¿Y tu nombre?,
Nayan sutijax Ruth,Mi nombre es Ruth,
Qawqha maranitasa?,¿Cuántos años tienes?,
"Nayax kimsa tunka paqallquni maranitwa, jumasti?","Tengo 37 años, ¿y tú?",
Nayax pä tunka pusini maranitwa,Yo tengo 24 años,
Qawqha jilanitasa?,¿Cuántos hermanos tienes?,
"Janiw utjkituti, jumasti?","No tengo, ¿Y tú?",
Nayax phisqa jilatanitwa,Yo tengo 5 hermanos,
Jumax kawkitasa?,¿Tú de dónde eres?,
"Nayax Alto patatwa, Jumax kawki markatatasa?","Soy de El Alto, ¿Tú de dónde eres?",
"La Pazan markatatwa, jumax kuna luriritasa?","De La Paz, ¿tú a que te dedicas?",
"Nayax qulliritwa, jumasti?",Yo soy médico ¿Y tú?,
Nayax pastelerawa,Yo soy pastelera,
Qawqha uywanitasa?,¿Cuántos animales tienes?,
Pusi uywanitwa,Tengo 4 animales,
Kuna uywanitasa?,¿Qué animales tienes?,
"Pä anunumpi, pä phisimpi, jumax uywanitati?","Dos perros y dos gatos, ¿Y tú tienes animales?",
"Nayax janiw uywanikti, Anumax kuna saminisa?","No tengo animales, ¿De qué color es tu perro?",
"Ch’iyarawa, Utamax kuna saminisa?","Es negro, ¿De qué color es tu casa?",
"Utajax uqi samiwa, kuna manq’s munta?","Mi casa es de color plomo, ¿qué comida quieres?",
"Nayax saxta muntha, jumasti?","Quiero sajta, ¿Y tú?",
Nayax arusampi aychampi muntha,Yo quiero arroz con carne,
Kunas ustam?,¿Qué te duele?,
Purakaw usuta,Mi estómago me duele,
Sintit ustam?,¿Te duele mucho?,
"Janiwa, juk’akiw usutu","No, me duele un poco nomás",
Wasurux kuna urunsa?,¿Ayer que día era?,
"Wasurux saxra urunwa, qharurux kuna urunisa?","Ayer era martes, ¿mañana que día va ser?",
"Qharurux illap uruniwa, kuna phaxsinktansa?","Mañana es jueves, ¿en qué mes estamos?",
"Taypisata phaxsinktanwa, kuna marasa?","Estamos en octubre, ¿qué año es?",
Pä waranka pä tunka mayani marawa,Es el año 2021,
Kuna pachasa?,¿Qué hora es?,
Suxta alwat pusi tunka mayani k’atanakaw saraqxi,Son las 06:41 de la mañana,
Jurpurkam kullaka Andrea,Hasta pasado mañana hermana Andrea,
Jurpurkamay Kullaka Ruth,Hasta pasado mañana hermana Ruth,
Aski alwakïpan kullaka,Buenos días hermana,
Aski alwakïpanay kullaka,Buenos días hermana,
Kamisaki?,¿Cómo estás?,
Walikisktwa,Estoy bien,
Juman sutimax kunasa?,¿Cuál es tú nombre?,
"Nayan sutijax Amalia, jumansti?","Mi nombre es Amalia, ¿y de tí?",
Nayax sutijax Helen,Mi nombre es Helen,
Jumax kawkitatasa?,¿Tú de dónde eres?,
"Nayax Orurotatwa, jumasti?","Yo soy de Oruro, ¿y tú?",
Cochabambatatwa,Soy de Cochabamba,
Tatamax kawkitasa?,¿Tu papá de dónde es?,
Tatajax Sucre markatawa,Mi papá es de Sucre,
Tatamax kuna luririsa?,¿Tu papá a que se dedica?,
Jupax ch’ukuriwa,Él es costurero,
Mamamasti,¿Y tu mamá?,
Mamajax utankiriwa,Mi mamá es ama de casa,
Jumax qawqha jilanitasa?,¿Cuántos hermanos tienes?,
Nayax mä jilanitwa,Yo tengo un hermano,
Jupan sutipax kunasa?,¿Él cómo se llama?,
Jilajan sutipax Ramirowa,Mi hermano se llama Ramiro,
Jilamax qawqha maranisa?,¿Tu hermano cuántos años tiene?,
Pä tunka maraniwa,Tiene 20 años,
"Nayax pä jilanitwa, jilïr jilajan sutipax Eusebio, sullka jilajan sutipax Mateo","Yo tengo 2 hermanos, el mayor de llama Eusebio y el menor se llama Mateo",
Ukax kunasa?,¿Eso qué es?,
Ukax q’ipijawa,Eso es mi bulto,
Jupax khitisa?,¿Quién es él?,
Jupax yuqajawa,Él es mi hijo,
Akax utamati?,¿Esta es tu casa?,
"Janiwa, janiw utajakiti","No, no es mi casa",
Khayaw utajaxa,Aquella es mi casa,
"Ahhhh, uka ch’uqix jumankiti?","Ahhhh, ¿esa papa es tuya?",
Jisa nayankiwa,"Sí, es mío",
Kunampis utjtam?,¿Qué más tienes?,
"Arusampi, apichumpi, apillampiw utjitu","Tengo arroz, camote y oca",
Ch’uqin chanipasti?,¿Y el precio de la papa?,
Kimsa tunka waranqawa,Es 30 unidades monetarias,
Mä arroba ch’uq’i aljita,Véndeme una arroba de papa,
Yaw churamay,Ya te venderé,
Uka anux khitinkisa?,¿Ese perro de quién es?,
Uka anux nayankiwa,Ese perro es mío,
Jumax uywanitati?,¿Tú tienes animales?,
"Jisa, uywanitwa","Sí, tengo animales",
Kuna uywanitasa?,¿Qué animal tienes?,
Nayax mä iwijanitwa,Yo tengo una oveja,
Iwijajax Dory satawa,Mi oveja se llama Dory,
Iwijamax kuna saminisa?,¿Tu oveja de qué color es?,
Iwijajax ch’umphiwa,Mi oveja es de color café,
Kullaka kuna phaxsinsa wawamax yurini?,¿Hermana en qué mes va a nacer tu bebé?,
Taypi sata phaxsina,En el mes de octubre,
Kullaka jichhurux kuna urusa?,¿Hermana que día es hoy?,
Jichhurux ñanqha uruwa,Hoy es viernes,
Kuna pachasa?,¿Qué hora es?,
Tunka mayani alwa pachawa,Son las 11 de la mañana,
"Waliki kullaka, qharürkama","Bien hermana, hasta mañana",
Qharürkamay kullaka,Hasta mañana hermana,
Aski alwakïpan Jilata José,Buenos días hermano José,
Aski alwakïpanay Kullaka Elva,Buenos días hermana Elva,
Kunjamastasa?,¿Cómo estás?,
"Waliki, jumasti?","Bien, ¿y tú?",
Walikiraki,Bien también,
Kuns luraskta kullaka?,¿Qué estás haciendo hermana?,
Nayax walja t'ant'a lurasktha,Yo estoy haciendo muchos panes,
Kawki?,¿Donde?,
"Jurnujana, jumax janit t'ant'a lurkata?","En mi horno, ¿tú no vas a hacer pan?",
"Janiwa, nayax janiw lurakati","No, yo no voy a hacer",
Kunata?,¿Por qué?,
"Nayax jayrachitwa, inas jayp'uru lurchï","Yo soy flojo, talvez en la tarde haga",
Jayp'urux chhijchhintjamakiniwa,En la tarde parece que va a granizar,
"Kunjama? Ay no... Pampan janiw sarnaqañakiti, q'ixu q'ixu puriri",¿Cómo? Ay no... No hay que caminar en la pampa sabe,
caer relámpagos,,
"Jisa, Jilata","Sí, hermano",
Kawkir t'ant'anaks lurta?,¿Qué panes estás haciendo?,
"Nayax t'ant'a wawanakampi, tunqu t'ant'ampi, musq’a t'ant'ampi lurtha","Yo estoy haciendo t’ant’a wawa, pan de maiz y pan dulce",
Kunjamas t'ant'a wawamaxa?,¿Cómo es tu t’ant’a wawa?,
"T'ant'a wawajax istuku ajanuniwa, jach'awa, wawajamawa","Mí t’ant’a wawa tiene cara de estuco, es grande, es como mi bebé",
Jiwakiwa,Que bonito,
"Jisa, ah... Ancha irnaqatax amparajaw usutu","Sí, ah... mi mano me duele por tanto trabajar",
Khitinakampisktasa?,¿Con quiénes estás?,
Nayakitwa,Yo no más estoy,
"Ay kullakita, anchhitaw yanapanpir jutama. ¿Qawqha t'ant's lurasta?","Ay hermanita, ahorita vengo a ayudarte. ¿Cuánto pan estás haciendo?",
"Nayax mä arroba jak’uta luratha, qawqha t'ant'a mistchini?","Yo estoy haciendo de una arroba, ¿cuánto pan saldrá?",
Nayax sarxarusktwa yanapiri,Ya vengo a ayudarte,
Yuspajara Jilata,Gracias hermano,
Aski urukïpan kullaka,Buen día hermana,
Aski urukïpanay jilata,Buen día hermano,
Kamisaki?,¿Cómo estás?,
Waliki,Bien,
Jumasti?,¿Y tú?,
Walikisktwa,Estoy bien,
Juman sutimax kunasa?,¿Cuál es tú nombre?,
Nayan sutijax Antoniawa,Mi nombre es Antonia,
Jumax qawqha maranitasa?,¿Tú cuántos años tienes?,
Nayax pusi tunka maranitwa,Yo tengo 40 años,
Jumax kawkitatasa?,¿Tú de dónde eres?,
Nayax Santa Cruzatatwa,Yo soy de Santa Cruz,
Jumax kuna luriritasa?,¿Tú a qué te dedicas?,
Nayax jakhuritwa,Yo soy contadora,
Jumax kuna luriritasa jilata?,Tu a qué te dedicas hermano?,
Nayax yatichiritwa,Yo soy profesor,
Waliki! kawkins irnaqta?,¡Qué bien! ¿Dónde trabajas?,
Mä Institutuna,En un instituto,
Jumax qawqha kullakanitasa?,¿Tú cuántas hermanas tienes?,
"Nayax kimsa kullakanitwa, jilir kullakax Ana satawa, taypiristi Maritza satawa, sullkiri kullakitajasti María René satawa","Yo tengo 3 hermanas, mi hermana mayor se llama Ana, la del medio es Maritza y mi hermanita menor es María Rene",
Jumar kunas ustam? Wali qaritjamakiw jutasktaxay,¿A ti qué te duele? Te veo venir bien cansada,
Nayar janiw kunas uskituti,A mí no me duele nada,
Jumax uywanitati?,¿Tú tienes animales?,
"Jisa, nayax mä anunitwa","Sí, yo tengo un perro",
Anumax kuna saminisa?,¿Tu perro de qué color es?,
Ch’umphimpi janq'umpi saminiwa,Es de color café con blanco,
Kuna maranktansa?,¿En qué año estamos?,
Pä waranka pätunka mayani,2021,
Kuna phaxisinktansa?,¿En qué mes estamos?,
Taypi sata phaxsinktanwa,Estamos en el mes de octubre,
Jichhurux kuna urusa?,¿Hoy qué día es?,
Jichhurux samaña uruwa,Hoy es sábado,
Kuna pachasa?,¿Qué hora es?,
Suxta alwat pä tunka k'atanakaw saraqxi,Son las 06:20 de la mañana,
Kuna manq's munta?,¿Qué comida quieres?,
"Nayax chhuxllumpi, aychampi, kisumpi muntha",Yo quiero choclo con carne y queso,
Jumasti kuns munta?,¿Y tú qué quieres?,
Nayax Pique Macho muntha,Yo quiero Pique Macho,
"Jichhasti, jumax kuns luraskta?","Ahora, ¿tú qué estás haciendo?",
Akan nayax kullakitajaruw suyasktha,Aquí yo estoy esperando a mi hermanita,
K’aristawa,Estás mintiendo,
"Janiwa, kamisarakisti, chiqapuniwa","No, como pues, es de verdad",
"Jan samti kullaka, khä tatax khitisa?","No digas hermana, ¿ese hombre quién es?",
Khä tatax ichutatajawa,Ese hombre es mi padrino de bautizo,
Kawkirurak sarasktasti?,¿A dónde estás yendo?,
Qhaturuw sarasktha,Al mercado estoy yendo,
Qhaturu nayampi sarañ muntati?,¿Quieres ir al mercado conmigo?,
Kunarsa?,¿Cuándo?,
Anchhita,Ahora,
"Janiwa, willküruw sarañäni, wilküruw irpitäta","No, el domingo iremos, el domingo me llevas",
Walikiskiwa,Está bien,
"Ukhamax Willküruw wali alwat jikisiñäni, sart’awayä","Entonces el día domingo muy tempranos nos encontraremos, iré",
"Quq apanïtawa, willkürkama. Uka ch’iyar anuraki!","Vas a traer fiambre, hasta el domingo. ¡Cuidado con ese perro negro!",
Aski urukïpan kullaka,Buenos días hermana,
Aski urukïpanay kullaka,Buenos días hermana,
Kamisaki kullaka?,¿Cómo estás hermana?,
"Walikisktwa, jumax kunjamasktasa?","Estoy bien, ¿y tú cómo estás?",
Waliki kullaka. ¿Kunas sutimaxa?,Bien hermana. ¿Cuál es tu nombre?,
"Nayax Lizeth satätwa, jumasti kun satatäsa?","Mi nombre es Lizeth, ¿y tú cómo te llamas?",
Nayan sutijax Maribelawa. Qawqha maranitasa?,Mi nombre es Maribel. ¿Cuántos años tienes?,
Nayax kimsa tunka mayani maranitwa. Jumasti?,Yo tengo 31 años. ¿Y tú?,
Nayax pusi tunka pusini maranitwa,Yo tengo 44 años,
Kuna phaxsin yuritätasa?,¿En qué mes naciste?,
Chinuqa phaxina. Jumansti?,En el mes de enero. ¿Y de ti?,
Jallu qallta phaxsina. Jumax kuna luriritasa?,En el mes de diciembre. ¿Tú a qué te dedicas?,
Nayax utankiritwa. Jumasti?,Yo soy ama de casa. ¿Y tú?,
Nayax ingenieratwa. Jumax kawkitatasa?,Yo soy ingeniera. ¿Tú de dónde eres?,
Nayax La Pazatatwa. Jumasti?,Yo soy de La Paz. ¿Y tú?,
Nayax La Pazankirirakitwa,Yo también soy de La Paz,
Chachanitati?,¿Tienes esposo?,
Janiw chachanikti. Jumasti?,No tengo esposo. ¿Y tú?,
"Jisa, nayax chachanitwa","Sí, yo tengo esposo",
"Ukhamax, wawanitati?",Entonces ¿tienes hijos?,
"Jisa, wawanitwa","Sí, tengo hijos",
Qawqha wawanitasa?,¿Cuántos hijos tienes?,
"Nayax pä wawanitwa, imillpurawa","Yo tengo dos hijas, son mujercitas",
Jilir phuchamax qawqha maranisa?,¿Tu hija mayor cuántos años tiene?,
Jilir wawajax pä tunka payani maraniwa,Mi hija mayor tiene 22 años,
Sullkir wawamax qawqha maranisa?,¿Tu hija menor cuántos años tiene?,
Jupax tunka payani maraniwa. Jumax ipanitati?,Mi hija mayor tiene 12 años. ¿Tú tienes tías?,
"Jisa, ipanitwa","Sí, tengo tías",
Qawqha ipanitasa?,¿Cuántas tías tienes?,
"Pä ipanitwa. Maribel, kuna maranktansa?",Tengo dos tías. Maribel ¿En qué año estamos?,
"Pä waranqa pä tunka mayani maranktanwa. Lizeth, kuna phaxinktansa?",Estamos en el año 2021. Lizeth ¿en qué mes estamos?,
Taypi sata phaxsinktanwa. Kuna urunktansa?,Estamos en el mes de octubre. ¿En qué día estamos?,
Jichhurux pacha uruwa. Pacha chimpunitati?,Hoy es miércoles. ¿Tienes reloj?,
"Jisa, pacha chimpunitwa","Sí, tengo reloj",
Anchhitax kuna pachasa?,¿En este momento qué hora es?,
Anchhitax suxta alwat kimsa tunka suxtani k’atanakaw saraqxi,En este momento son las 06:36 de la mañana,
Uywanitati?,¿Tienes animales?,
"Jisa, mä uywanitwa","Sí, tengo un animal",
Kuna uywanitasa?,¿Qué animal tienes?,
Nayax mä anunitwa,Yo tengo un perro,
Anumax kuna saminisa?,¿Tu perro de qué color es?,
Anujax ch’iyar sanimiwa. Jumasti anunitati?,"Mi perro es de color negro. ¿Y tú, tienes perros?",
"Janiw anunikti, nayax mä phisinitwa","No tengo perros, yo tengo un gato",
Phisiman nayrapax kuna saminisa?,"¿Los ojos de tu gato, de qué color son?",
Nayrapax uqiwa,Sus ojos son de color plomo,
Phisimax jiwakipachawa,Tu gato debe ser bonito,
"Saya, ukhamawa. Anchhitax ikiskiwa","Si, así es. En este momento está durmiendo",
"Maribel, utaman kuna juyranitasa?","Maribel, en tu casa ¿qué alimento tienes?",
"Nayax jak’u, asukara, jayu, wallpa k’awna, p’usquptayiri, llujllu, millk’i, millk’i tikanitwa","Yo tengo harina, azúcar, sal, huevo de gallina, levadura, aceite, leche y queso",
Uka juyranakampix kuns lurata?,¿Con esos alimentos qué vas a hacer?,
Nayax t’ant’a lurä,Yo voy a hacer pan,
Ah! Waliki kullakita,¡Ah! Que bien hermanita,
"Jisa kullaka, janiw t’ant’ax utjkituti, wilamasijatakiw lurä. Jumasti t’ant’a luratati?","Si hermana, no tengo pan, para mi familia voy a hacer. ¿Y tú, vas a hacer pan?",
Nayax janiraw t’ant’a lurkti,Yo aún no he hecho pan,
Kuna urus luratä?,¿Qué día vas a hacer?,
Samañ uru jayp’uw lurä. Jumarux wawanakamax yanapatamti?,"El día sábado por la tarde voy a hacer. ¿A ti, tus hijas te van a ayudar?",
"Janiwa, nayax sapakiw lurä. Jupanakax janiw pachanikiti","No, yo sola voy a hacer. Ellas no tienen tiempo",
Kuns lurapxani?,¿Qué van a hacer?,
Jupanakax yatiqasipkaniwa,Ellas tienen clases,
Maribel walikisktati? Wali llakitarakitasa,"¿Maribel, estás bien? Te veo muy preocupada",
"Jisa kullaka, llakitapunitwa","Si hermana, bien preocupada siempre estoy",
Kunata?,¿Por qué?,
Pacha ur alwax nayax mä aymar yant’awinitwa,El miércoles por la mañana yo tengo un examen de Aymara,
Chiqapuni kullaka?,¿En verdad hermana?,
"Jisa, chiqapuniwa","Sí, en verdad siempre",
Khitis yatichirimaja? Kunas jupan sutipaxa?,¿Quién es tu docente? ¿Cómo se llama?,
Yatichirijax Roman Pairumani Ajacopa sutiniwa. Uñt’tati?,Mi docente se llama Román Pairumani Ajacopa. ¿Lo conoces?,
"Jisa, uñt’twa. Nayan pankapaw utjitu","Sí, lo conozco. Yo tengo su libro",
Waliki,Que bien,
"Ukhamasti, aymarat jakhuña yattati?","Entonces, sabes contar en aymara?",
"Jisa, jakhuña yatthwa: maya, paya, kimsa, pusi, phisqa, suxta, paqallqu, kimsaqalqu, llätunka, tunka","Si, sé contar: uno, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez",
"Wali sumaw kullaka. Jichhasti, Aymar ampar luk’anan sutinakapax yattati?","Muy bien hermana. Ahora, ¿Sabes los nombres de los dedos en aymara?",
"Ukx, armasipuntwa",Eso me olvido siempre,
"Akax tayka luk’anawa, akax wikuchir luk’ana, akax jilir luk’ana, akax surtij luk’ana, akaraki qallu luk’ana","Este es dedo pulgar, dedo índice, dedo mayor","medio, dedo anular y este dedo meñique"
Ah! Juspajara. Jichhasti janiw armaskati,¡Ah! gracias. Ahora ya no me voy a olvidar,
Ch’akhan uywanakan sutip yattati?,¿Sabes los nombres de los animales vertebrados?,
"Jisa, anu, phisi, qarwa, wanaku, iwija, achaku, taruja, qamaqi, k’usillu, chiñi, wallpa, pili...","Sí, perro, gato, llama, vicuña, oveja, ratón, venado, zorro, mono, murciélago, gallina,pato...",
"Yattaw kullaka, jan llakisimti. Maribel jichhurux kuns phayäta?",¡Sabes hermana! no te preocupes. Maribel ¿qué vas a cocinar hoy?,
Nayax Saxta phayä,Yo voy a cocinar Sajta,
Uka manq’x nayax masüruw manq’tha,Esa comida yo he comido ayer,
Kunampi? Ch’uñumpi?,¿Con qué? ¿Con chuño?,
"Janiwa, tuntampi. Khitimpis phayäta?","No, con tunta. ¿Con quién vas a cocinar?",
Nayax kullakajampiw phayä. Jupax wali suma phayï,Con mi hermana voy a cocinar. Ella cocina delicioso,
Waliki Maribel,Que bien Maribel,
Lizetan chililiripaw chilinki,EL celular de Lizeth está sonando,
Kullaka khitis jawsantam? Wali sustjatatawa,Hermana ¿Quién te llamó? Muy asustada estás,
"Jisa kullaka, masijaruw anu p’atsutayna","Si hermana, a mi amiga el perro le ha mordido",
"Jan samti, kawkhats p’atsutayna",No me digas ¿Dónde le ha mordido?,
"Kayut p’atsutayna. Anchapuniw usutu, ukham situwa","En el pie le ha mordido. Me duele mucho, me ha dicho",
"Jichhasti, masimax kawkinkisa?","Ahora, tu amiga ¿Dónde está?",
Mamapax qullañ utaruw irpi,Su mamá la llevo al hospital,
"Jan llakisimti, walikiskaniwa","No te preocupes, va estar bien",
"Jisa, walikiskaniwa","Si, va a estar bien",
"Sarxä kullaka, jikisiñkama","Me iré hermana, hasta luego",
Jikisiñkamay kullaka. Yaqha uruw aruskipañani,Hasta luego hermana. Otro día conversaremos,
Aski urupïkan kullaka,Buen día hermana,
Aski urukïpanay kullaka,Buen día hermana,
Kamisaki?,¿Cómo estás?,
Waliki kullaka,Bien hermana,
Juman sutimax kunasa?,¿Cuál es tu nombre?,
Nayan sutijax Alejandrawa,Yo me llamo Alejandra,
Sutimasti?,¿Y tu nombre?,
